"Run","Diet","Pro1","Pro2","Pro3"
"Data/2020-07-20-Run1.xlsx","100N",0.214,0.2057,0.2143
"Data/2020-07-20-Run1.xlsx","0Ile",0.1727,0.1673,0.1769
"Data/2020-07-20-Run1.xlsx","25Thr",0.1842,0.2005,0.1893
"Data/2020-07-20-Run1.xlsx","0N",0.1328,0.2168,0.141
"Data/2020-07-20-Run1.xlsx","R100N",0.2016,0.1769,0.1931
"Data/2020-07-20-Run1.xlsx","R0Ile",0.1597,0.1726,0.1754
"Data/2020-07-20-Run1.xlsx","R25Thr",0.2073,0.1968,0.1998
"Data/2020-07-20-Run1.xlsx","R0N",0.1438,0.1371,0.1354
"Data/2020-07-20-Run2.xlsx","100N",0.1623,0.1634,0.1629
"Data/2020-07-20-Run2.xlsx","0Ile",0.144,0.1362,0.1305
"Data/2020-07-20-Run2.xlsx","25Thr",0.1417,0.1778,0.1802
"Data/2020-07-20-Run2.xlsx","0N",0.1251,0.1113,0.1374
"Data/2020-07-20-Run2.xlsx","R100N",0.2022,0.1534,0.1797
"Data/2020-07-20-Run2.xlsx","R0Ile",0.1672,0.1605,0.1588
"Data/2020-07-20-Run2.xlsx","R25Thr",0.1858,0.1839,0.1846
"Data/2020-07-20-Run2.xlsx","R0N",0.1472,0.1466,0.1507
"Data/2020-07-21-Run3.xlsx","100N",0.1827,0.1813,0.1766
"Data/2020-07-21-Run3.xlsx","0Ile",0.1582,0.164,0.1519
"Data/2020-07-21-Run3.xlsx","25Thr",0.1891,0.1828,0.1831
"Data/2020-07-21-Run3.xlsx","0N",0.129,0.1323,0.1411
"Data/2020-07-21-Run3.xlsx","R100N",0.1946,0.1901,0.1977
"Data/2020-07-21-Run3.xlsx","R0Ile",0.1675,0.1702,0.1687
"Data/2020-07-21-Run3.xlsx","R25Thr",0.1744,0.1808,0.1847
"Data/2020-07-21-Run3.xlsx","R0N",0.1479,0.1465,0.1525
"Data/2020-07-21-Run4.xlsx","100N",0.1749,0.185,0.1908
"Data/2020-07-21-Run4.xlsx","0Ile",0.1688,0.1489,0.1676
"Data/2020-07-21-Run4.xlsx","25Thr",0.1699,0.2449,0.1923
"Data/2020-07-21-Run4.xlsx","0N",0.1325,0.1348,0.1873
"Data/2020-07-21-Run4.xlsx","R100N",0.1871,0.1877,0.1847
"Data/2020-07-21-Run4.xlsx","R0Ile",0.1674,0.1593,0.1624
"Data/2020-07-21-Run4.xlsx","R25Thr",0.1774,0.1705,0.2975
"Data/2020-07-21-Run4.xlsx","R0N",0.1418,0.142,0.1523
"Data/2020-07-21-Run5.xlsx","100N",0.1215,0.1448,0.1504
"Data/2020-07-21-Run5.xlsx","0Ile",0.1208,0.1325,0.1291
"Data/2020-07-21-Run5.xlsx","25Thr",0.1383,0.1312,0.1339
"Data/2020-07-21-Run5.xlsx","0N",0.1116,0.114,0.1218
"Data/2020-07-21-Run5.xlsx","R100N",0.167,0.1869,0.1666
"Data/2020-07-21-Run5.xlsx","R0Ile",0.12,0.2963,0.1456
"Data/2020-07-21-Run5.xlsx","R25Thr",0.1601,0.1615,0.1734
"Data/2020-07-21-Run5.xlsx","R0N",0.1374,0.1381,0.241
